,Season,Game,HR,Team,TOI(min)
469,2012,20235,Road,STL,55.80000000000001
470,2012,20236,Home,CGY,47.983333333333334
471,2012,20236,Road,LAK,47.983333333333334
472,2012,20237,Home,TOR,42.61666666666667
473,2012,20237,Road,BUF,42.61666666666667
474,2012,20238,Home,PHI,50.86666666666667
475,2012,20238,Road,FLA,50.86666666666667
476,2012,20239,Home,WSH,41.06666666666666
477,2012,20239,Road,NJD,41.06666666666666
478,2012,20240,Home,CAR,49.46666666666667
479,2012,20240,Road,WPG,49.46666666666667
480,2012,20241,Home,MTL,47.91666666666667
481,2012,20241,Road,NYI,47.91666666666667
482,2012,20242,Home,OTT,51.75
483,2012,20242,Road,NYR,51.75
484,2012,20243,Home,TBL,53.53333333333333
485,2012,20243,Road,BOS,53.53333333333333
486,2012,20244,Home,DET,47.3
487,2012,20244,Road,CBJ,47.3
488,2012,20245,Home,DAL,44.31666666666666
489,2012,20245,Road,VAN,44.31666666666666
490,2012,20246,Home,EDM,53.23333333333334
491,2012,20246,Road,MIN,53.23333333333334
492,2012,20247,Home,PIT,48.233333333333334
493,2012,20247,Road,FLA,48.233333333333334
494,2012,20248,Home,NSH,52.85
495,2012,20248,Road,VAN,52.85
496,2012,20249,Home,CHI,47.51666666666667
497,2012,20249,Road,SJS,47.51666666666667
498,2012,20250,Home,WSH,50.400000000000006
499,2012,20250,Road,NJD,50.400000000000006
500,2012,20251,Home,PHI,0.016666666666666666
501,2012,20251,Road,WPG,0.016666666666666666
502,2012,20252,Home,EDM,43.433333333333344
503,2012,20252,Road,PHX,43.433333333333344
504,2012,20253,Home,LAK,51.06666666666667
505,2012,20253,Road,COL,51.06666666666667
506,2012,20254,Home,BUF,46.33333333333334
507,2012,20254,Road,NYI,46.33333333333334
508,2012,20255,Home,MTL,51.66666666666667
509,2012,20255,Road,NYR,51.66666666666667
510,2012,20256,Home,OTT,55.16666666666667
511,2012,20256,Road,TOR,55.16666666666667
512,2012,20257,Home,CAR,34.45
513,2012,20257,Road,TBL,34.45
514,2012,20258,Home,DET,54.16666666666667
515,2012,20258,Road,NSH,54.16666666666667
516,2012,20259,Home,STL,47.11666666666667
517,2012,20259,Road,CBJ,47.11666666666667
518,2012,20260,Home,DAL,37.21666666666667
519,2012,20260,Road,SJS,37.21666666666667
520,2012,20261,Home,CGY,36.91666666666667
521,2012,20261,Road,MIN,36.91666666666667
522,2012,20262,Home,FLA,51.26666666666667
523,2012,20262,Road,BOS,51.26666666666667
524,2012,20263,Home,NJD,50.56666666666667
525,2012,20263,Road,WPG,50.56666666666667
526,2012,20264,Home,DET,48.13333333333333
527,2012,20264,Road,VAN,48.13333333333333
528,2012,20265,Home,NYI,51.616666666666674
529,2012,20265,Road,CAR,51.616666666666674
530,2012,20266,Home,CHI,40.56666666666666
531,2012,20266,Road,CBJ,40.56666666666666
532,2012,20267,Home,PIT,55.00000000000001
533,2012,20267,Road,TBL,55.00000000000001
534,2012,20268,Home,CGY,46.28333333333333
535,2012,20268,Road,PHX,46.28333333333333
536,2012,20269,Home,ANA,46.516666666666666
537,2012,20269,Road,COL,46.516666666666666
538,2012,20270,Home,PHI,45.15
539,2012,20270,Road,TOR,45.15
540,2012,20271,Home,OTT,56.0
541,2012,20271,Road,MTL,56.0
542,2012,20272,Home,NSH,46.650000000000006
543,2012,20272,Road,DAL,46.650000000000006
544,2012,20273,Home,CHI,49.71666666666667
545,2012,20273,Road,EDM,49.71666666666667
546,2012,20274,Home,LAK,51.45000000000001
547,2012,20274,Road,ANA,51.45000000000001
548,2012,20275,Home,NYR,50.016666666666666
549,2012,20275,Road,WPG,50.016666666666666
550,2012,20276,Home,WSH,52.1
551,2012,20276,Road,CAR,52.1
552,2012,20277,Home,CBJ,55.033333333333346
553,2012,20277,Road,DAL,55.033333333333346
554,2012,20278,Home,NYI,45.86666666666667
555,2012,20278,Road,BOS,45.86666666666667
556,2012,20279,Home,TBL,46.21666666666667
557,2012,20279,Road,BUF,46.21666666666667
558,2012,20280,Home,FLA,41.96666666666667
559,2012,20280,Road,PIT,41.96666666666667
560,2012,20281,Home,MIN,33.13333333333333
561,2012,20281,Road,CGY,33.13333333333333
562,2012,20282,Home,VAN,52.55000000000001
563,2012,20282,Road,PHX,52.55000000000001
564,2012,20283,Home,SJS,48.25
